semantic_layer,allowed_methods_before_validation,validation_metric,selected_method,test_metric,evidence_file,audit_note
iid_stuck,PrivSAF mixture,"validation AUPRC, runtime reported separately",privsaf_mixture,AUROC=0.761045; AUPRC=0.492704,results/icde_revision_detection_summary.csv; results/private_telemetry_cleaning_router_summary.csv,select mixture posterior when iid stuck-at labels are pointwise and the stuck-column model is compatible
segment_stuck,PrivSAF-HMM; PrivSAF-HMM scan,"validation AUPRC, runtime reported separately",privsaf_hmm,AUROC=0.930333; AUPRC=0.833189,results/icde_revision_detection_summary.csv; results/native_flatline_method_audit.csv; results/hadisd_multistation_streak_pmldp_rollup.csv,select HMM posterior when persistence is part of the label semantics and HMM is best within the compatible set
template_stuck,PrivSAF-HMM; PrivSAF-HMM scan,"validation AUPRC, runtime reported separately",privsaf_hmm,AUROC=0.850867; AUPRC=0.612576,results/icde_revision_detection_summary.csv; results/native_flatline_method_audit.csv; results/hadisd_multistation_streak_pmldp_rollup.csv,select HMM posterior when persistence is part of the label semantics and HMM is best within the compatible set
native_flatline_windows,PrivSAF-HMM; PrivSAF-HMM scan,"validation AUPRC, runtime reported separately",privsaf_hmm_scan,AUROC=0.803614; AUPRC=0.483927,results/icde_revision_detection_summary.csv; results/native_flatline_method_audit.csv; results/hadisd_multistation_streak_pmldp_rollup.csv,select HMM posterior when persistence is part of the label semantics and HMM is best within the compatible set
field_qc_stuck_labels,PM-window GLR; LLR-CUSUM; PrivSAF-HMM,validation AUPRC inside deployed-QC stratum,pm_window_glr,AUROC=0.939805; AUPRC=0.716422,results/iors_stuck_qc_pmldp_summary.csv; results/iors_stuck_qc_loweps_summary.csv,route to local channel statistic when the stuck label marks a local QC regime rather than one stuck bucket
field_qc_low_epsilon_0.5,PM-window GLR; LLR-CUSUM; PrivSAF-HMM,validation AUPRC inside deployed-QC stratum,pm_llr_cusum,AUROC=0.728365; AUPRC=0.388966,results/iors_stuck_qc_pmldp_summary.csv; results/iors_stuck_qc_loweps_summary.csv,route to local channel statistic when the stuck label marks a local QC regime rather than one stuck bucket
field_qc_low_epsilon_1,PM-window GLR; LLR-CUSUM; PrivSAF-HMM,validation AUPRC inside deployed-QC stratum,pm_llr_cusum,AUROC=0.892402; AUPRC=0.516138,results/iors_stuck_qc_pmldp_summary.csv; results/iors_stuck_qc_loweps_summary.csv,route to local channel statistic when the stuck label marks a local QC regime rather than one stuck bucket
explicit_availability_dropout,dropout HMM,validation AUPRC for availability labels,privsaf_dropout_hmm,AUROC=0.999998; AUPRC=0.999985,results/iors_dropout_qc_pmldp_summary.csv; results/private_telemetry_cleaning_router_summary.csv,select dropout emission model when the observed state is availability rather than a scalar stuck value
prepared_multivariate_stuck_labels,PM-window GLR; PM-column likelihood scan; PrivSAF-HMM,validation AUPRC inside row-label stratum,pm_window_glr,AUROC=0.633737; AUPRC=0.462625,results/wsn_stuck_labeled_pmldp_summary.csv,route to window statistic when row-level labels are not generated by a single scalar stuck bucket
duchi_binary_segment_stuck,PrivSAF-HMM; PrivSAF-HMM scan,"validation AUPRC, runtime reported separately",privsaf_hmm,AUROC=0.751097; AUPRC=0.631977,results/icde_revision_detection_summary.csv; results/native_flatline_method_audit.csv; results/hadisd_multistation_streak_pmldp_rollup.csv,select HMM posterior when persistence is part of the label semantics and HMM is best within the compatible set
real_station_straight_string,PrivSAF-HMM; PrivSAF-HMM scan,"validation AUPRC, runtime reported separately",privsaf_hmm,AUROC=0.969067; AUPRC=0.895819,results/icde_revision_detection_summary.csv; results/native_flatline_method_audit.csv; results/hadisd_multistation_streak_pmldp_rollup.csv,select HMM posterior when persistence is part of the label semantics and HMM is best within the compatible set
official_flat_tolerance_labels,PrivSAF-HMM; PrivSAF range-HMM; report frequency; channel GLR,case-mean AUPRC under frozen KRR-LDP protocol,privsaf_range_hmm_r1_fixed_prior,AUROC=0.539323; AUPRC=0.024551,results/coops_verified_flat_full_protocol_summary.csv; results/coops_verified_flat_full_protocol_tier_summary.csv,select range-HMM when official flat-tolerance labels align with raw flatness and range-HMM leads private baselines
