semantic_layer,source,router_operator,operator_family,best_auroc,best_auprc,privsaf_operator,privsaf_auroc,privsaf_auprc,router_gain_vs_privsaf_auprc,evidence_cases,interpretation
iid_stuck,five public scalar streams,privsaf_mixture,PrivSAF posterior,0.7610445001507082,0.492703995219948,privsaf_matched_mixture,0.7610445001507082,0.492703995219948,0.0,60,iid stuck-at points use the mixture posterior.
segment_stuck,five public scalar streams,privsaf_hmm,PrivSAF posterior,0.9303325478079034,0.8331887180098418,privsaf_matched_hmm,0.9303325478079034,0.8331887180098418,0.0,60,persistent single-bucket stuck-at segments use the HMM posterior.
template_stuck,five public scalar streams,privsaf_hmm,PrivSAF posterior,0.8508666467498488,0.6125758190180514,privsaf_matched_hmm,0.8508666467498488,0.6125758190180514,0.0,30,template-like flatline faults keep the stuck-column HMM.
native_flatline_windows,public raw-stream flatline mining,privsaf_hmm_scan,PrivSAF posterior,0.8036139946174546,0.4839270719600141,privsaf_hmm_scan,0.8036139946174546,0.4839270719600141,0.0,306,strict same-bin native flatline windows are the closest real flatline layer.
field_qc_stuck_labels,I-ORS deployed rangefinder,pm_window_glr,local channel statistic,0.9398046625947096,0.7164217761060185,privsaf_hmm_global,0.7132845608825916,0.3720718576902568,0.34434991841576174,48,field QC labels contain local regime evidence beyond one global stuck bucket.
field_qc_low_epsilon_0.5,I-ORS deployed rangefinder,pm_llr_cusum,local channel statistic,0.7283654266495767,0.3889657682117522,privsaf_hmm_global,0.6536489369232586,0.2121288811899037,0.17683688702184852,24,low privacy budgets favor cumulative local evidence.
field_qc_low_epsilon_1,I-ORS deployed rangefinder,pm_llr_cusum,local channel statistic,0.8924023288337066,0.5161377190365313,privsaf_hmm_global,0.7020675598364307,0.3316148746903786,0.18452284434615268,24,low privacy budgets favor cumulative local evidence.
explicit_availability_dropout,I-ORS deployed rangefinder,privsaf_dropout_hmm,availability HMM,0.9999977250786344,0.9999854468556691,privsaf_dropout_hmm,0.9999977250786344,0.9999854468556691,0.0,96,explicit missing symbols use the dropout emission operator.
prepared_multivariate_stuck_labels,WSN prepared stuck-at benchmark,pm_window_glr,local channel statistic,0.6337368503384934,0.4626246569610647,privsaf_hmm,0.4781385420691937,0.2961059052584245,0.1665187517026402,30,row-level prepared labels mix several scalar features.
duchi_binary_segment_stuck,Air Quality mechanism extension,privsaf_hmm,PrivSAF posterior,0.7510971257716049,0.6319772142204478,privsaf_hmm,0.7510971257716049,0.6319772142204478,0.0,9,the same inference code works with a Duchi-binary channel matrix.
real_station_straight_string,HadISD station 702606-96401 plus compact and cross-page screens,privsaf_hmm,PrivSAF posterior,0.9690670289855072,0.895819053200694,privsaf_hmm,0.9690670289855072,0.895819053200694,0.0,67,RSS/WSS wind strings give the strongest PrivSAF-HMM real-streak evidence; page-7 and page-0 screens add 58 TSS/DSS cases where page 0 roughly doubles AUPRC over prevalence but PSS has no support.
official_flat_tolerance_labels,NOAA CO-OPS verified six-minute water level,privsaf_range_hmm_r1_fixed_prior,PrivSAF posterior,0.5393234972850804,0.024550582761214836,privsaf_range_hmm_r1_fixed_prior,0.5393234972850804,0.024550582761214836,0.0,40,official verified F=1 flat-tolerance labels preserve WL_VALUE in the same ERDDAP rows; the frozen all-eligible KRR-LDP protocol uses prior-month calibration only and selects the range-HMM above channel_window_glr_5 on the full panel; raw flatness upper bound AUPRC is 0.874.
